id,name,poster_path,backdrop_path,id_movie
10194.0,Toy Story Collection,/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg,862.0
119050.0,Grumpy Old Men Collection,/nLvUdqgPgm3F85NMCii9gVFUcet.jpg,/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg,15602.0
96871.0,Father Of The Bride Collection,/nts4iOmNnq7GNicycMJ9pSAn204.jpg,/7qwE57OVZmMJChBpLEbJEmzUydk.jpg,11862.0
645.0,James Bond Collection,/HORpg5CSkmeQlAolx3bKMrKgfi.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg,710.0
117693.0,Balto Collection,/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg,/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg,21032.0
3167.0,Ace Ventura Collection,/qCxH543pScFed1CycwJ1nVgrkOc.jpg,/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg,9273.0
91698.0,Chili Palmer Collection,/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg,/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg,8012.0
9435.0,Babe Collection,/jgnah0k4AumfcZE4HHMJywYHvG6.jpg,/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg,9598.0
9818.0,Mortal Kombat Collection,/nauCllomdtyciLCRcVrSJKcJQbn.jpg,/qD3efz57VGNywAN4lTvgz3FHnBb.jpg,9312.0
136214.0,Pocahontas Collection,/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg,/qqeOxNmtAW7WXdbrmQftgluvve7.jpg,10530.0
124935.0,The Lawnmower Man Collection,/slBKrKBbL1g3KURphhAYIyOOH0G.jpg,/id05z92s8Pwc2wbR9YAKngGqOyP.jpg,11525.0
43563.0,Friday Collection,/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg,/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg,10634.0
10924.0,From Dusk Till Dawn Collection,/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg,/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg,755.0
122017.0,Screamers Collection,/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg,,9102.0
256377.0,The Muppet Collection,/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg,/1AWd3MM90G47mxtD112gRDxSXY9.jpg,10874.0
91430.0,The Neverending Story Collection,/tXuOhgEbXoba7vVIybzGlnycoNq.jpg,/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg,27793.0
14890.0,Bad Boys Collection,/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg,/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg,9737.0
120794.0,Batman Collection,/adQxUvQW8HXNsvMG5aj71pHh9T.jpg,/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg,414.0
439053.0,Brooklyn Cigar Store Collection,/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg,/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg,5894.0
8819.0,Casper Collection,/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg,,8839.0
9649.0,Mexico Trilogy,/qmPhILSFQKaRyc81mVJWl05tHai.jpg,/6p1OzuIKWnTDfDea7IpB9xra5J.jpg,8068.0
1570.0,Die Hard Collection,/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg,/5kHVblr87FUScuab1PVSsK692IL.jpg,1572.0
